C.S,C.H,C.B,C.L,P.S,P.H,P.B,P.L,C.B -C.L,C.B - P.B,C.B - P.L,C.L -P.B,C.L - P.L,P.B -P.L,P.S - P.H,P.S - P.B,P.S - P.L,P.H - P.B,P.H - P.L
178.4,182.4,168.85,165.45,,,,,3.4,,,,,,,,,,
177.5,180.45,178.7,178.3,178.4,182.4,168.85,165.45,0.4,9.85,13.25,9.45,12.85,3.4,-4,9.55,12.95,13.55,16.95
175.4,178.3,174.7,172.5,177.5,180.45,178.7,178.3,2.2,-4,-3.6,-6.2,-5.8,0.4,-2.95,-1.2,-0.8,1.75,2.15
175.4,178.3,174.7,172.5,175.4,178.3,174.7,172.5,2.2,0,2.2,-2.2,0,2.2,-2.9,0.7,2.9,3.6,5.8
178,178.6,178.55,176.15,175.4,178.3,174.7,172.5,2.4,3.85,6.05,1.45,3.65,2.2,-2.9,0.7,2.9,3.6,5.8
177.45,178.5,178.05,177.5,178,178.6,178.55,176.15,0.55,-0.5,1.9,-1.05,1.35,2.4,-0.6,-0.55,1.85,0.05,2.45
175.4,178.3,174.7,172.5,177.45,178.5,178.05,177.5,2.2,-3.35,-2.8,-5.55,-5,0.55,-1.05,-0.6,-0.05,0.45,1
170.1,175.5,170.45,167.8,175.4,178.3,174.7,172.5,2.65,-4.25,-2.05,-6.9,-4.7,2.2,-2.9,0.7,2.9,3.6,5.8
166,168.7,165,162.05,170.1,175.5,170.45,167.8,2.95,-5.45,-2.8,-8.4,-5.75,2.65,-5.4,-0.35,2.3,5.05,7.7
165.6,169.5,163.3,160.1,166,168.7,165,162.05,3.2,-1.7,1.25,-4.9,-1.95,2.95,-2.7,1,3.95,3.7,6.65
185.3,186.95,164.25,164.8,165.6,169.5,163.3,160.1,-0.55,0.95,4.15,1.5,4.7,3.2,-3.9,2.3,5.5,6.2,9.4
187.6,193.5,185.65,185.1,185.3,186.95,164.25,164.8,0.55,21.4,20.85,20.85,20.3,-0.55,-1.65,21.05,20.5,22.7,22.15
187.8,189.45,188.85,187,187.6,193.5,185.65,185.1,1.85,3.2,3.75,1.35,1.9,0.55,-5.9,1.95,2.5,7.85,8.4
176.85,178.75,177.55,168.3,187.8,189.45,188.85,187,9.25,-11.3,-9.45,-20.55,-18.7,1.85,-1.65,-1.05,0.8,0.6,2.45
181.5,184.4,177.65,176.35,176.85,178.75,177.55,168.3,1.3,0.1,9.35,-1.2,8.05,9.25,-1.9,-0.7,8.55,1.2,10.45
181.3,182.7,181.75,181,181.5,184.4,177.65,176.35,0.75,4.1,5.4,3.35,4.65,1.3,-2.9,3.85,5.15,6.75,8.05
180.55,183.15,178.3,176.85,181.3,182.7,181.75,181,1.45,-3.45,-2.7,-4.9,-4.15,0.75,-1.4,-0.45,0.3,0.95,1.7
180.9,181.75,181.2,180.5,180.55,183.15,178.3,176.85,0.7,2.9,4.35,2.2,3.65,1.45,-2.6,2.25,3.7,4.85,6.3
185,188.15,180.65,178.05,180.9,181.75,181.2,180.5,2.6,-0.55,0.15,-3.15,-2.45,0.7,-0.85,-0.3,0.4,0.55,1.25
184.1,185.45,184.8,181.65,185,188.15,180.65,178.05,3.15,4.15,6.75,1,3.6,2.6,-3.15,4.35,6.95,7.5,10.1
184.3,185.15,184.55,183.4,184.1,185.45,184.8,181.65,1.15,-0.25,2.9,-1.4,1.75,3.15,-1.35,-0.7,2.45,0.65,3.8
183.75,185.5,184.3,181.05,184.3,185.15,184.55,183.4,3.25,-0.25,0.9,-3.5,-2.35,1.15,-0.85,-0.25,0.9,0.6,1.75
183.1,183.65,183.6,181.6,183.75,185.5,184.3,181.05,2,-0.7,2.55,-2.7,0.55,3.25,-1.75,-0.55,2.7,1.2,4.45
183.1,184.1,183.3,182.7,183.1,183.65,183.6,181.6,0.6,-0.3,1.7,-0.9,1.1,2,-0.55,-0.5,1.5,0.05,2.05
180.65,183.4,176.1,174.3,183.1,184.1,183.3,182.7,1.8,-7.2,-6.6,-9,-8.4,0.6,-1,-0.2,0.4,0.8,1.4
181.75,182.75,181.6,180.4,180.65,183.4,176.1,174.3,1.2,5.5,7.3,4.3,6.1,1.8,-2.75,4.55,6.35,7.3,9.1
182.05,183.3,181.55,177.05,181.75,182.75,181.6,180.4,4.5,-0.05,1.15,-4.55,-3.35,1.2,-1,0.15,1.35,1.15,2.35
181.75,182.25,182.1,181.2,182.05,183.3,181.55,177.05,0.9,0.55,5.05,-0.35,4.15,4.5,-1.25,0.5,5,1.75,6.25
181.45,182.5,181.9,188.7,181.75,182.25,182.1,181.2,-6.8,-0.2,0.7,6.6,7.5,0.9,-0.5,-0.35,0.55,0.15,1.05
181.7,183.8,183.2,181.05,181.45,182.5,181.9,188.7,2.15,1.3,-5.5,-0.85,-7.65,-6.8,-1.05,-0.45,-7.25,0.6,-6.2
181.85,182.2,181.85,181.55,181.7,183.8,183.2,181.05,0.3,-1.35,0.8,-1.65,0.5,2.15,-2.1,-1.5,0.65,0.6,2.75
181.75,182.1,181.85,181.8,181.85,182.2,181.85,181.55,0.05,0,0.3,-0.05,0.25,0.3,-0.35,0,0.3,0.35,0.65
181.9,182.65,181.65,181,181.75,182.1,181.85,181.8,0.65,-0.2,-0.15,-0.85,-0.8,0.05,-0.35,-0.1,-0.05,0.25,0.3
183.65,185.85,181.85,181,181.9,182.65,181.65,181,0.85,0.2,0.85,-0.65,0,0.65,-0.75,0.25,0.9,1,1.65
185.55,187,184.35,183.25,183.65,185.85,181.85,181,1.1,2.5,3.35,1.4,2.25,0.85,-2.2,1.8,2.65,4,4.85
183.9,185.75,184.9,183.4,185.55,187,184.35,183.25,1.5,0.55,1.65,-0.95,0.15,1.1,-1.45,1.2,2.3,2.65,3.75
183.9,186,184.1,183.7,183.9,185.75,184.9,183.4,0.4,-0.8,0.7,-1.2,0.3,1.5,-1.85,-1,0.5,0.85,2.35
184.1,185.5,184.4,183.7,183.9,186,184.1,183.7,0.7,0.3,0.7,-0.4,0,0.4,-2.1,-0.2,0.2,1.9,2.3
184,185.5,184.65,183.5,184.1,185.5,184.4,183.7,1.15,0.25,0.95,-0.9,-0.2,0.7,-1.4,-0.3,0.4,1.1,1.8
190.65,194.3,183.25,181.55,184,185.5,184.65,183.5,1.7,-1.4,-0.25,-3.1,-1.95,1.15,-1.5,-0.65,0.5,0.85,2
191,191.65,191.5,189.7,190.65,194.3,183.25,181.55,1.8,8.25,9.95,6.45,8.15,1.7,-3.65,7.4,9.1,11.05,12.75
190.95,191.45,191.25,190.5,191,191.65,191.5,189.7,0.75,-0.25,1.55,-1,0.8,1.8,-0.65,-0.5,1.3,0.15,1.95
190.3,192,190.75,185.05,190.95,191.45,191.25,190.5,5.7,-0.5,0.25,-6.2,-5.45,0.75,-0.5,-0.3,0.45,0.2,0.95
190.75,193.95,190.15,189.8,190.3,192,190.75,185.05,0.35,-0.6,5.1,-0.95,4.75,5.7,-1.7,-0.45,5.25,1.25,6.95
191.4,193.8,191.05,190.2,190.75,193.95,190.15,189.8,0.85,0.9,1.25,0.05,0.4,0.35,-3.2,0.6,0.95,3.8,4.15
185.75,189.9,185.2,181.7,191.4,193.8,191.05,190.2,3.5,-5.85,-5,-9.35,-8.5,0.85,-2.4,0.35,1.2,2.75,3.6
194.95,198,185.25,182.4,185.75,189.9,185.2,181.7,2.85,0.05,3.55,-2.8,0.7,3.5,-4.15,0.55,4.05,4.7,8.2
202.4,205,196.6,194.55,194.95,198,185.25,182.4,2.05,11.35,14.2,9.3,12.15,2.85,-3.05,9.7,12.55,12.75,15.6
202.6,203.5,202.75,201.6,202.4,205,196.6,194.55,1.15,6.15,8.2,5,7.05,2.05,-2.6,5.8,7.85,8.4,10.45
203.75,206.4,202.8,202.05,202.6,203.5,202.75,201.6,0.75,0.05,1.2,-0.7,0.45,1.15,-0.9,-0.15,1,0.75,1.9
204.6,205,204.9,203.85,203.75,206.4,202.8,202.05,1.05,2.1,2.85,1.05,1.8,0.75,-2.65,0.95,1.7,3.6,4.35
205.95,209.4,204.55,204.4,204.6,205,204.9,203.85,0.15,-0.35,0.7,-0.5,0.55,1.05,-0.4,-0.3,0.75,0.1,1.15
201.8,203.7,203.1,200.7,205.95,209.4,204.55,204.4,2.4,-1.45,-1.3,-3.85,-3.7,0.15,-3.45,1.4,1.55,4.85,5
199.85,201.55,199.35,196.6,201.8,203.7,203.1,200.7,2.75,-3.75,-1.35,-6.5,-4.1,2.4,-1.9,-1.3,1.1,0.6,3
199.8,200.9,200.55,199.45,199.85,201.55,199.35,196.6,1.1,1.2,3.95,0.1,2.85,2.75,-1.7,0.5,3.25,2.2,4.95
198.6,200.5,199.35,196.9,199.8,200.9,200.55,199.45,2.45,-1.2,-0.1,-3.65,-2.55,1.1,-1.1,-0.75,0.35,0.35,1.45
198.9,200,199.3,198,198.6,200.5,199.35,196.9,1.3,-0.05,2.4,-1.35,1.1,2.45,-1.9,-0.75,1.7,1.15,3.6
190.15,192.15,191.5,187.5,198.9,200,199.3,198,4,-7.8,-6.5,-11.8,-10.5,1.3,-1.1,-0.4,0.9,0.7,2
191,192.5,191,190,190.15,192.15,191.5,187.5,1,-0.5,3.5,-1.5,2.5,4,-2,-1.35,2.65,0.65,4.65
197.2,199.5,191.15,190.65,191,192.5,191,190,0.5,0.15,1.15,-0.35,0.65,1,-1.5,0,1,1.5,2.5
193.7,194.9,194.65,192.2,197.2,199.5,191.15,190.65,2.45,3.5,4,1.05,1.55,0.5,-2.3,6.05,6.55,8.35,8.85
226.4,231.65,193.95,193.15,193.7,194.9,194.65,192.2,0.8,-0.7,1.75,-1.5,0.95,2.45,-1.2,-0.95,1.5,0.25,2.7
204.55,207,204.75,201.65,226.4,231.65,193.95,193.15,3.1,10.8,11.6,7.7,8.5,0.8,-5.25,32.45,33.25,37.7,38.5
200.75,211.5,199.8,195.85,204.55,207,204.75,201.65,3.95,-4.95,-1.85,-8.9,-5.8,3.1,-2.45,-0.2,2.9,2.25,5.35
202.5,204.45,203.25,200.5,200.75,211.5,199.8,195.85,2.75,3.45,7.4,0.7,4.65,3.95,-10.75,0.95,4.9,11.7,15.65
194.55,199,194.8,190.2,202.5,204.45,203.25,200.5,4.6,-8.45,-5.7,-13.05,-10.3,2.75,-1.95,-0.75,2,1.2,3.95
193.75,194.5,194.4,192.7,194.55,199,194.8,190.2,1.7,-0.4,4.2,-2.1,2.5,4.6,-4.45,-0.25,4.35,4.2,8.8
193.2,195.35,194.2,193.05,193.75,194.5,194.4,192.7,1.15,-0.2,1.5,-1.35,0.35,1.7,-0.75,-0.65,1.05,0.1,1.8
192.65,194.3,193.1,189.4,193.2,195.35,194.2,193.05,3.7,-1.1,0.05,-4.8,-3.65,1.15,-2.15,-1,0.15,1.15,2.3
181.6,184.4,183.65,175.7,192.65,194.3,193.1,189.4,7.95,-9.45,-5.75,-17.4,-13.7,3.7,-1.65,-0.45,3.25,1.2,4.9
179.75,181.4,180.7,178.2,181.6,184.4,183.65,175.7,2.5,-2.95,5,-5.45,2.5,7.95,-2.8,-2.05,5.9,0.75,8.7
179.25,180.7,179.8,179.35,179.75,181.4,180.7,178.2,0.45,-0.9,1.6,-1.35,1.15,2.5,-1.65,-0.95,1.55,0.7,3.2
181.7,183.45,179.8,179,179.25,180.7,179.8,179.35,0.8,0,0.45,-0.8,-0.35,0.45,-1.45,-0.55,-0.1,0.9,1.35
175.35,176.1,175.85,173.4,181.7,183.45,179.8,179,2.45,-3.95,-3.15,-6.4,-5.6,0.8,-1.75,1.9,2.7,3.65,4.45
175.55,177.65,175.5,175.25,175.35,176.1,175.85,173.4,0.25,-0.35,2.1,-0.6,1.85,2.45,-0.75,-0.5,1.95,0.25,2.7
179.4,181.8,175.9,173.1,175.55,177.65,175.5,175.25,2.8,0.4,0.65,-2.4,-2.15,0.25,-2.1,0.05,0.3,2.15,2.4
179.3,180.25,179.15,177.65,179.4,181.8,175.9,173.1,1.5,3.25,6.05,1.75,4.55,2.8,-2.4,3.5,6.3,5.9,8.7
176.3,177.85,176.85,175,179.3,180.25,179.15,177.65,1.85,-2.3,-0.8,-4.15,-2.65,1.5,-0.95,0.15,1.65,1.1,2.6
173.4,174.9,172.4,170.5,176.3,177.85,176.85,175,1.9,-4.45,-2.6,-6.35,-4.5,1.85,-1.55,-0.55,1.3,1,2.85
174.55,176.2,173,172.6,173.4,174.9,172.4,170.5,0.4,0.6,2.5,0.2,2.1,1.9,-1.5,1,2.9,2.5,4.4
174.5,174.85,174.65,173.65,174.55,176.2,173,172.6,1,1.65,2.05,0.65,1.05,0.4,-1.65,1.55,1.95,3.2,3.6
